trait	sumstats	ldsc_log	mixer_list	ldsc_status	mixer_status	ldsc_total_h2	ldsc_total_h2_se	ldsc_lambda_gc	ldsc_mean_chi2	ldsc_intercept	ldsc_intercept_se	ldsc_ratio	ldsc_ratio_se	ldsc_h2_outside_region	ldsc_h2_within_region	ldsc_h2_se_outside_region	ldsc_h2_se_within_region	ldsc_prop_snps_outside_region	ldsc_prop_snps_within_region	ldsc_prop_h2_outside_region	ldsc_prop_h2_within_region	ldsc_enrichment_outside_region	ldsc_enrichment_within_region	ldsc_coef_outside_region	ldsc_coef_within_region	ldsc_coef_se_outside_region	ldsc_coef_se_within_region	mixer_enrichment_outside_region	mixer_enrichment_outside_region_se	mixer_enrichment_within_region	mixer_enrichment_within_region_se	mixer_total_h2	mixer_total_h2_se	mixer_h2_outside_region	mixer_h2_within_region
PANUKBB.Inguinal_Hernia	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Inguinal_Hernia.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Inguinal_Hernia.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Inguinal_Hernia_list.txt	ok	ok	0.0288	0.0034	1.1396	1.1983	1.0394	0.0074	0.1989	0.0374	0.0265	0.0023	0.0032	0.0015	0.9947	0.0053	0.9198	0.0802	0.9247	15.2158	4.368e-09	7.1878e-08	5.1972e-10	4.604e-08	0.889457026877318	0.038694140550158976	22.148032105530184	7.402595601825167	0.025954874117311188	0.0016895027504600277	0.022965701046790486	0.0029891730705207207
PANUKBB.Mouth_Teeth_Dental_Problems	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Mouth_Teeth_Dental_Problems.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Mouth_Teeth_Dental_Problems.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Mouth_Teeth_Dental_Problems_list.txt	ok	ok	0.0275	0.0031	1.1973	1.2713	1.0852	0.0133	0.314	0.0489	0.029	-0.0015	0.0039	0.0021	0.9947	0.0053	1.0553	-0.0553	1.0609	-10.4922	4.7733e-09	-4.7207e-08	6.453e-10	6.3801e-08	1.0023348046842027	0.023084887770657668	0.5533273348184516	4.416381556741703	0.026975073746482846	0.0015125278912314338	0.026897459444564033	7.761430191874083e-05
PANUKBB.Varicose_Vein_Surgery	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Varicose_Vein_Surgery.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Varicose_Vein_Surgery.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Varicose_Vein_Surgery_list.txt	ok	ok	0.04	0.0038	1.2798	1.3776	1.1349	0.011	0.3573	0.0291	0.0362	0.0038	0.0034	0.0024	0.9947	0.0053	0.9043	0.0957	0.9091	18.1419	5.9671e-09	1.1907e-07	5.6315e-10	7.344e-08	0.8988885576341059	0.029717590803049247	20.34368118556985	5.685287328977489	0.03619206757793216	0.0017904281307207202	0.03236346819370623	0.0038285993842257946
PASS.Acne_Vulgaris.TederLaving2023	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Acne_Vulgaris.TederLaving2023.sumstats.gz	results/sldsc_sumstats_107/PASS.Acne_Vulgaris.TederLaving2023.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Acne_Vulgaris.TederLaving2023_list.txt	ok	ok	0.0227	0.0023	1.0499	1.1036	0.9678	0.0074			0.019	0.0036	0.0023	0.0015	0.9947	0.0053	0.8395	0.1605	0.844	30.4393	3.1355e-09	1.1309e-07	3.7138e-10	4.7235e-08	0.8667760789192351	0.04407831255376088	26.487135732397267	8.432644271381943	0.019970262554378476	0.001460914160914713	0.017219736510209742	0.002750526044168719
PASS.Age_First_Birth.Barban2016	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Age_First_Birth.Barban2016.sumstats.gz	results/sldsc_sumstats_107/PASS.Age_First_Birth.Barban2016.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Age_First_Birth.Barban2016_list.txt	ok	ok	0.065	0.0043	1.1876	1.2229	1.0043	0.0075	0.0192	0.0339	0.0633	0.0016	0.0045	0.0026	0.9947	0.0053	0.975	0.025	0.9801	4.7485	1.0434e-08	5.0549e-08	7.3994e-10	7.9966e-08	0.9539065409864615	0.027456574249050496	9.818162959951227	5.252731108311876	0.06344066602792806	0.003013845128293154	0.06020178526778237	0.0032388807601461105
PASS.Aging_Parental_Lifespan.Timmers2020	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Aging_Parental_Lifespan.Timmers2020.sumstats.gz	results/sldsc_sumstats_107/PASS.Aging_Parental_Lifespan.Timmers2020.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Aging_Parental_Lifespan.Timmers2020_list.txt	ok	ok	0.0252	0.0016	1.2922	1.3343	1.0995	0.0094	0.2976	0.028	0.0241	0.0011	0.0017	0.001	0.9947	0.0053	0.9577	0.0423	0.9628	8.0146	3.9724e-09	3.3067e-08	2.7252e-10	3.1977e-08	0.9760311289491521	0.026129630506983526	5.585496845230778	4.9988728297912175	0.023747977876658027	0.0011241430079547028	0.023058237839165007	0.00068974003749292
PASS.Alcohol_use.SanchezRoige2018	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Alcohol_use.SanchezRoige2018.sumstats.gz	results/sldsc_sumstats_107/PASS.Alcohol_use.SanchezRoige2018.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Alcohol_use.SanchezRoige2018_list.txt	ok	ok	0.0902	0.0066	1.1934	1.2185	1.0451	0.0073	0.2065	0.0335	0.094	-0.0037	0.0069	0.0038	0.9947	0.0053	1.041	-0.041	1.0465	-7.7814	1.5479e-08	-1.1509e-07	1.1438e-09	1.1951e-07	1.0052271044686887	2.220446049250313e-16	0.0	0.0	0.0887305587623722	0.004352405086514696	0.0887305587623722	0.0
PASS.Alzheimers_Disease.Wightman2021	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Alzheimers_Disease.Wightman2021.sumstats.gz	results/sldsc_sumstats_107/PASS.Alzheimers_Disease.Wightman2021.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Alzheimers_Disease.Wightman2021_list.txt	ok	ok	0.0077	0.0008	1.1466	1.1579	1.0251	0.011	0.1588	0.0699	0.007	0.0007	0.0008	0.0006	0.9947	0.0053	0.9093	0.0907	0.9141	17.2025	1.1571e-09	2.1775e-08	1.2682e-10	1.9421e-08	0.8959664709729599	0.05007290253844746	20.90270706283441	9.579472313675783	0.006651969595440793	0.0005358693859370644	0.0059289504798984	0.0007230191155423958
PASS.Anorexia_Nervosa.Watson2019	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Anorexia_Nervosa.Watson2019.sumstats.gz	results/sldsc_sumstats_107/PASS.Anorexia_Nervosa.Watson2019.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Anorexia_Nervosa.Watson2019_list.txt	ok	ok	0.1943	0.0141	1.2388	1.2796	1.0643	0.0094	0.2301	0.0335	0.1919	0.0024	0.0134	0.0083	0.9947	0.0053	0.9876	0.0124	0.9929	2.3438	3.1619e-08	7.464e-08	2.2043e-09	2.5773e-07	0.9740712053728702	0.02768576835488314	5.960450816025929	5.296578348634878	0.1768644469605421	0.009616393308473423	0.17138272960667864	0.005481717353864038
PASS.Atrial_Fibrillation.Nielsen2018	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PASS.Atrial_Fibrillation.Nielsen2018.sumstats.gz	results/sldsc_sumstats_107/PASS.Atrial_Fibrillation.Nielsen2018.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PASS.Atrial_Fibrillation.Nielsen2018_list.txt	ok	ok	0.0223	0.0018	1.2892	1.4524	1.1207	0.0165	0.2669	0.0365	0.0215	0.0009	0.0016	0.0009	0.9947	0.0053	0.961	0.039	0.9661	7.4049	3.5361e-09	2.7105e-08	2.6915e-10	2.7247e-08	0.9532686659270657	0.022357580657649225	9.94019516022823	4.277240065048714	0.020338348526664753	0.000796191890555519	0.01928709470823609	0.0010512538184286845
